Date,High,Low,Open,Close,Volume,Adj Close
2017-03-14,3.0799999237060547,2.799999952316284,3.0799999237060547,2.990000009536743,33800.0,2.990000009536743
2017-03-15,3.140000104904175,2.940000057220459,2.990000009536743,2.990000009536743,52400.0,2.990000009536743
2017-03-16,3.0899999141693115,2.869999885559082,3.0899999141693115,2.950000047683716,29600.0,2.950000047683716
2017-03-17,3.200000047683716,2.700000047683716,2.990000009536743,2.700000047683716,105600.0,2.700000047683716
2017-03-20,2.950000047683716,2.5399999618530273,2.759999990463257,2.5899999141693115,65500.0,2.5899999141693115
2017-03-21,2.759999990463257,2.2200000286102295,2.6700000762939453,2.6500000953674316,46500.0,2.6500000953674316
2017-03-22,2.9800000190734863,2.75,2.9200000762939453,2.930000066757202,74500.0,2.930000066757202
2017-03-23,3.0799999237060547,2.859999895095825,2.9700000286102295,3.009999990463257,76000.0,3.009999990463257
2017-03-24,3.200000047683716,3.009999990463257,3.119999885559082,3.1600000858306885,63900.0,3.1600000858306885
2017-03-27,3.25,3.0999999046325684,3.200000047683716,3.1500000953674316,32000.0,3.1500000953674316
2017-03-28,3.380000114440918,3.1500000953674316,3.190000057220459,3.190000057220459,63300.0,3.190000057220459
2017-03-29,3.7100000381469727,3.2300000190734863,3.25,3.5299999713897705,96100.0,3.5299999713897705
2017-03-30,3.9200000762939453,3.490000009536743,3.630000114440918,3.5899999141693115,110300.0,3.5899999141693115
2017-03-31,4.0,3.559999942779541,4.0,3.890000104904175,85200.0,3.890000104904175
2017-04-03,4.0,3.700000047683716,3.9000000953674316,3.75,61400.0,3.75
2017-04-04,3.799999952316284,3.549999952316284,3.799999952316284,3.549999952316284,61600.0,3.549999952316284
2017-04-05,3.75,3.2799999713897705,3.75,3.2799999713897705,31900.0,3.2799999713897705
2017-04-06,3.7799999713897705,3.359999895095825,3.7799999713897705,3.4100000858306885,12000.0,3.4100000858306885
2017-04-07,3.559999942779541,3.4200000762939453,3.4200000762939453,3.5,25300.0,3.5
2017-04-10,3.490000009536743,3.25,3.490000009536743,3.2699999809265137,18700.0,3.2699999809265137
2017-04-11,3.559999942779541,3.299999952316284,3.299999952316284,3.430000066757202,31300.0,3.430000066757202
2017-04-12,4.0,3.4200000762939453,4.0,3.7100000381469727,28000.0,3.7100000381469727
2017-04-13,3.940000057220459,3.5199999809265137,3.740000009536743,3.559999942779541,15400.0,3.559999942779541
2017-04-17,3.9000000953674316,3.700000047683716,3.9000000953674316,3.7200000286102295,16300.0,3.7200000286102295
2017-04-18,3.9000000953674316,3.5,3.9000000953674316,3.5399999618530273,21400.0,3.5399999618530273
2017-04-19,3.5799999237060547,3.3499999046325684,3.5799999237060547,3.5,55700.0,3.5
2017-04-20,3.4800000190734863,3.3399999141693115,3.4800000190734863,3.450000047683716,9700.0,3.450000047683716
2017-04-21,3.5399999618530273,3.4000000953674316,3.5399999618530273,3.4200000762939453,10700.0,3.4200000762939453
2017-04-24,3.509999990463257,3.450000047683716,3.509999990463257,3.450000047683716,6900.0,3.450000047683716
2017-04-25,3.490000009536743,3.2699999809265137,3.4000000953674316,3.390000104904175,21000.0,3.390000104904175
2017-04-26,3.380000114440918,3.3399999141693115,3.3399999141693115,3.380000114440918,10800.0,3.380000114440918
2017-04-27,3.380000114440918,3.059999942779541,3.299999952316284,3.140000104904175,22100.0,3.140000104904175
2017-04-28,3.3399999141693115,3.25,3.25,3.319999933242798,4900.0,3.319999933242798
2017-05-01,3.5,3.059999942779541,3.5,3.180000066757202,18600.0,3.180000066757202
2017-05-02,3.5,3.0399999618530273,3.140000104904175,3.490000009536743,33900.0,3.490000009536743
2017-05-03,3.3499999046325684,3.200000047683716,3.259999990463257,3.3399999141693115,6400.0,3.3399999141693115
2017-05-04,3.359999895095825,3.180000066757202,3.359999895095825,3.200000047683716,25300.0,3.200000047683716
2017-05-05,3.240000009536743,3.1500000953674316,3.2300000190734863,3.190000057220459,22100.0,3.190000057220459
2017-05-08,3.1700000762939453,2.5999999046325684,3.1700000762939453,3.0799999237060547,30400.0,3.0799999237060547
2017-05-09,3.069999933242798,2.799999952316284,3.069999933242798,2.9600000381469727,28600.0,2.9600000381469727
2017-05-10,3.049999952316284,2.859999895095825,2.9700000286102295,3.049999952316284,14100.0,3.049999952316284
2017-05-11,3.059999942779541,3.049999952316284,3.049999952316284,3.059999942779541,4100.0,3.059999942779541
2017-05-12,3.0199999809265137,2.9700000286102295,2.9700000286102295,3.009999990463257,3100.0,3.009999990463257
2017-05-15,3.0,2.7200000286102295,3.0,3.0,7100.0,3.0
2017-05-16,3.4200000762939453,3.049999952316284,3.049999952316284,3.4200000762939453,12900.0,3.4200000762939453
2017-05-17,3.4100000858306885,3.0,3.4100000858306885,3.3499999046325684,7400.0,3.3499999046325684
2017-05-18,3.430000066757202,3.0,3.049999952316284,3.3499999046325684,5600.0,3.3499999046325684
2017-05-19,3.440000057220459,3.0799999237060547,3.440000057220459,3.180000066757202,12900.0,3.180000066757202
2017-05-22,3.299999952316284,3.2200000286102295,3.2200000286102295,3.259999990463257,4700.0,3.259999990463257
2017-05-23,3.299999952316284,2.9700000286102295,3.299999952316284,2.9700000286102295,13900.0,2.9700000286102295
2017-05-24,3.200000047683716,3.0899999141693115,3.0899999141693115,3.190000057220459,7500.0,3.190000057220459
2017-05-25,3.200000047683716,3.109999895095825,3.190000057220459,3.119999885559082,6900.0,3.119999885559082
2017-05-26,3.190000057220459,3.119999885559082,3.180000066757202,3.1600000858306885,2300.0,3.1600000858306885
2017-05-30,3.200000047683716,3.109999895095825,3.200000047683716,3.119999885559082,3800.0,3.119999885559082
2017-05-31,3.1500000953674316,3.0999999046325684,3.109999895095825,3.0999999046325684,3500.0,3.0999999046325684
2017-06-01,3.109999895095825,3.0899999141693115,3.0999999046325684,3.0899999141693115,5100.0,3.0899999141693115
2017-06-02,3.130000114440918,3.059999942779541,3.059999942779541,3.119999885559082,400.0,3.119999885559082
2017-06-05,3.140000104904175,2.990000009536743,3.059999942779541,3.0199999809265137,8300.0,3.0199999809265137
2017-06-06,3.0299999713897705,2.75,2.990000009536743,2.75,26700.0,2.75
2017-06-07,3.2799999713897705,2.75,3.2799999713897705,3.0,11600.0,3.0
2017-06-08,3.190000057220459,2.9100000858306885,2.9100000858306885,2.9800000190734863,17500.0,2.9800000190734863
2017-06-09,3.1500000953674316,2.930000066757202,3.0299999713897705,3.0299999713897705,1900.0,3.0299999713897705
2017-06-12,3.119999885559082,2.869999885559082,3.0,2.890000104904175,22800.0,2.890000104904175
2017-06-13,3.130000114440918,2.950000047683716,3.0,3.0,4200.0,3.0
2017-06-14,3.119999885559082,2.9100000858306885,3.119999885559082,2.9100000858306885,16200.0,2.9100000858306885
2017-06-15,3.119999885559082,2.9200000762939453,3.059999942779541,3.119999885559082,12100.0,3.119999885559082
2017-06-16,3.450000047683716,2.9100000858306885,2.9100000858306885,2.950000047683716,21500.0,2.950000047683716
2017-06-19,3.140000104904175,2.6700000762939453,2.9700000286102295,2.7100000381469727,23100.0,2.7100000381469727
2017-06-20,2.799999952316284,2.6500000953674316,2.799999952316284,2.6500000953674316,26600.0,2.6500000953674316
2017-06-21,2.799999952316284,2.609999895095825,2.6600000858306885,2.799999952316284,17300.0,2.799999952316284
2017-06-22,2.890000104904175,2.700000047683716,2.700000047683716,2.8299999237060547,4600.0,2.8299999237060547
2017-06-23,2.7699999809265137,2.259999990463257,2.7699999809265137,2.4000000953674316,136300.0,2.4000000953674316
2017-06-26,3.0,2.259999990463257,3.0,2.2799999713897705,29600.0,2.2799999713897705
2017-06-27,2.549999952316284,2.2699999809265137,2.440000057220459,2.450000047683716,30500.0,2.450000047683716
2017-06-28,1.7300000190734863,1.4800000190734863,1.4900000095367432,1.6399999856948853,667900.0,1.6399999856948853
2017-06-29,1.7400000095367432,1.590000033378601,1.7000000476837158,1.6100000143051147,179600.0,1.6100000143051147
2017-06-30,1.6799999475479126,1.5700000524520874,1.649999976158142,1.649999976158142,73000.0,1.649999976158142
2017-07-03,1.7000000476837158,1.5700000524520874,1.6299999952316284,1.6200000047683716,61400.0,1.6200000047683716
2017-07-05,1.75,1.600000023841858,1.75,1.6200000047683716,25000.0,1.6200000047683716
2017-07-06,1.6699999570846558,1.5499999523162842,1.6699999570846558,1.5800000429153442,56200.0,1.5800000429153442
2017-07-07,1.6299999952316284,1.5099999904632568,1.559999942779541,1.6100000143051147,53600.0,1.6100000143051147
2017-07-10,1.6100000143051147,1.5199999809265137,1.6100000143051147,1.559999942779541,12600.0,1.559999942779541
2017-07-11,1.6699999570846558,1.4900000095367432,1.4900000095367432,1.600000023841858,25400.0,1.600000023841858
2017-07-12,1.6399999856948853,1.5099999904632568,1.5700000524520874,1.5099999904632568,7200.0,1.5099999904632568
2017-07-13,1.649999976158142,1.5299999713897705,1.5299999713897705,1.600000023841858,49000.0,1.600000023841858
2017-07-14,1.649999976158142,1.5800000429153442,1.5800000429153442,1.5800000429153442,28500.0,1.5800000429153442
2017-07-17,1.6299999952316284,1.559999942779541,1.5700000524520874,1.6299999952316284,39900.0,1.6299999952316284
2017-07-18,1.6100000143051147,1.5099999904632568,1.590000033378601,1.5299999713897705,27300.0,1.5299999713897705
2017-07-19,1.5700000524520874,1.2100000381469727,1.5099999904632568,1.2999999523162842,95400.0,1.2999999523162842
2017-07-20,1.5099999904632568,1.350000023841858,1.350000023841858,1.4600000381469727,39100.0,1.4600000381469727
2017-07-21,1.5,1.440000057220459,1.5,1.4600000381469727,27000.0,1.4600000381469727
2017-07-24,1.5,1.4500000476837158,1.4800000190734863,1.4600000381469727,11100.0,1.4600000381469727
2017-07-25,1.5,1.4600000381469727,1.4800000190734863,1.4700000286102295,15600.0,1.4700000286102295
2017-07-26,1.5399999618530273,1.4600000381469727,1.5,1.4800000190734863,19800.0,1.4800000190734863
2017-07-27,1.5,1.350000023841858,1.5,1.3799999952316284,37400.0,1.3799999952316284
2017-07-28,1.5,1.3899999856948853,1.5,1.3899999856948853,10100.0,1.3899999856948853
2017-07-31,1.4700000286102295,1.440000057220459,1.4700000286102295,1.4500000476837158,4600.0,1.4500000476837158
2017-08-01,1.4299999475479126,1.2999999523162842,1.399999976158142,1.3600000143051147,64700.0,1.3600000143051147
2017-08-02,1.4299999475479126,1.3700000047683716,1.3700000047683716,1.399999976158142,2800.0,1.399999976158142
2017-08-03,1.399999976158142,1.2599999904632568,1.3200000524520874,1.3200000524520874,7800.0,1.3200000524520874
2017-08-04,1.3899999856948853,1.340000033378601,1.3899999856948853,1.340000033378601,1500.0,1.340000033378601
2017-08-07,1.3799999952316284,1.25,1.3700000047683716,1.2899999618530273,41800.0,1.2899999618530273
2017-08-08,1.440000057220459,1.059999942779541,1.440000057220459,1.159999966621399,52400.0,1.159999966621399
2017-08-09,1.3899999856948853,1.159999966621399,1.159999966621399,1.309999942779541,20600.0,1.309999942779541
2017-08-10,1.3799999952316284,1.2899999618530273,1.3799999952316284,1.3300000429153442,11600.0,1.3300000429153442
2017-08-11,1.3200000524520874,1.25,1.3200000524520874,1.25,14800.0,1.25
2017-08-14,1.3300000429153442,1.2200000286102295,1.3300000429153442,1.2200000286102295,9700.0,1.2200000286102295
2017-08-15,1.350000023841858,1.2200000286102295,1.2300000190734863,1.2200000286102295,12200.0,1.2200000286102295
2017-08-16,1.2899999618530273,1.2100000381469727,1.2100000381469727,1.2799999713897705,2800.0,1.2799999713897705
2017-08-17,1.3200000524520874,1.2200000286102295,1.2300000190734863,1.25,20400.0,1.25
2017-08-18,1.2599999904632568,1.1699999570846558,1.2300000190734863,1.190000057220459,65500.0,1.190000057220459
2017-08-21,1.190000057220459,1.1200000047683716,1.159999966621399,1.149999976158142,12400.0,1.149999976158142
2017-08-22,1.2999999523162842,0.6800000071525574,1.190000057220459,1.1399999856948853,166300.0,1.1399999856948853
2017-08-23,1.2400000095367432,1.149999976158142,1.2400000095367432,1.1699999570846558,7000.0,1.1699999570846558
2017-08-24,1.2300000190734863,1.090000033378601,1.2300000190734863,1.100000023841858,9300.0,1.100000023841858
2017-08-25,1.100000023841858,0.949999988079071,1.0800000429153442,1.0299999713897705,30400.0,1.0299999713897705
2017-08-28,1.0499999523162842,0.949999988079071,0.9700000286102295,0.9900000095367432,10700.0,0.9900000095367432
2017-08-29,1.1100000143051147,0.9900000095367432,1.059999942779541,1.100000023841858,60000.0,1.100000023841858
2017-08-30,1.4700000286102295,1.0800000429153442,1.0800000429153442,1.440000057220459,119600.0,1.440000057220459
2017-08-31,1.4299999475479126,1.1699999570846558,1.399999976158142,1.2000000476837158,112700.0,1.2000000476837158
